Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
East Asia & Pacific,4.73E+12,5.34E+12,5.84E+12,6.53E+12,7.30E+12,8.30E+12,7.99E+12,7.65E+12,6.86E+12,7.66E+12,8.28E+12,7.70E+12,7.82E+12,8.60E+12,9.65E+12,1.03E+13,1.09E+13,1.22E+13,1.41E+13,1.45E+13,1.69E+13,1.96E+13,2.10E+13,2.13E+13,2.19E+13,2.18E+13,2.25E+13,2.40E+13
Europe & Central Asia,8.83E+12,9.11E+12,9.77E+12,8.98E+12,9.39E+12,1.08E+13,1.11E+13,1.05E+13,1.08E+13,1.06E+13,1.00E+13,1.01E+13,1.11E+13,1.35E+13,1.57E+13,1.67E+13,1.81E+13,2.12E+13,2.32E+13,2.04E+13,2.09E+13,2.32E+13,2.23E+13,2.34E+13,2.37E+13,2.04E+13,2.03E+13,2.14E+13
Ecuador,15239278100,16988535268,18094238119,18938717359,22708673337,24432884442,25226393197,28162053027,27981896948,19645272636,18327764882,24468324000,28548945000,32432858000,36591661000,41507085000,46802044000,51007777000,61762635000,62519686000,69555367000,79276664000,87924544000,95129659000,1.02E+11,99290381000,99937696000,1.04E+11
Euro area,5.87E+12,6.10E+12,6.73E+12,6.16E+12,6.51E+12,7.51E+12,7.60E+12,6.95E+12,7.14E+12,7.11E+12,6.48E+12,6.59E+12,7.17E+12,8.84E+12,1.01E+13,1.05E+13,1.12E+13,1.29E+13,1.41E+13,1.29E+13,1.26E+13,1.36E+13,1.26E+13,1.32E+13,1.35E+13,1.17E+13,1.19E+13,1.26E+13
Spain,5.35E+11,5.76E+11,6.29E+11,5.24E+11,5.29E+11,6.13E+11,6.41E+11,5.89E+11,6.17E+11,6.33E+11,5.95E+11,6.26E+11,7.05E+11,9.07E+11,1.07E+12,1.16E+12,1.26E+12,1.48E+12,1.64E+12,1.50E+12,1.43E+12,1.49E+12,1.34E+12,1.36E+12,1.38E+12,1.20E+12,1.24E+12,1.31E+12
European Union,7.57E+12,7.86E+12,8.56E+12,7.81E+12,8.29E+12,9.62E+12,9.83E+12,9.28E+12,9.60E+12,9.58E+12,8.91E+12,9.00E+12,9.82E+12,1.19E+13,1.38E+13,1.44E+13,1.54E+13,1.78E+13,1.91E+13,1.71E+13,1.70E+13,1.83E+13,1.73E+13,1.80E+13,1.86E+13,1.64E+13,1.65E+13,1.73E+13
Finland,1.42E+11,1.28E+11,1.13E+11,89255751015,1.03E+11,1.34E+11,1.32E+11,1.27E+11,1.34E+11,1.35E+11,1.26E+11,1.29E+11,1.40E+11,1.71E+11,1.97E+11,2.04E+11,2.17E+11,2.55E+11,2.84E+11,2.51E+11,2.48E+11,2.74E+11,2.57E+11,2.70E+11,2.73E+11,2.32E+11,2.39E+11,2.52E+11
Fiji,1337024782,1383843860,1531803061,1635426125,1825285158,1970347721,2129266728,2093994597,1656784780,1942170999,1684109743,1660102346,1842691481,2315935753,2727507213,3006725015,3102741451,3405050612,3523185920,2870624636,3140508836,3774530616,3972012571,4190143206,4483416340,4362128146,4671313315,5061202767
France,1.27E+12,1.27E+12,1.40E+12,1.32E+12,1.39E+12,1.60E+12,1.61E+12,1.45E+12,1.50E+12,1.49E+12,1.36E+12,1.38E+12,1.49E+12,1.84E+12,2.12E+12,2.20E+12,2.32E+12,2.66E+12,2.92E+12,2.69E+12,2.64E+12,2.86E+12,2.68E+12,2.81E+12,2.85E+12,2.44E+12,2.47E+12,2.58E+12
Gabon,5952293766,5402919957,5592390849,4378645081,4190819314,4958845906,5694040337,5326816859,4483417120,4662992036,5067865321,5018874179,5310381151,6497305662,7756293575,9578973591,10318424464,12438956756,15508574820,12065138273,14358584300,18186478120,17171447372,17590745162,18179752010,14377324798,14014369642,15013950984
