Country,1990_Spend,1991_Spend,1992_Spend,1993_Spend,1994_Spend,1995_Spend,1996_Spend,1997_Spend,1998_Spend,1999_Spend,2000_Spend,2001_Spend,2002_Spend,2003_Spend,2004_Spend,2005_Spend,2006_Spend,2007_Spend,2008_Spend,2009_Spend,2010_Spend,2011_Spend,2012_Spend,2013_Spend,2014_Spend,2015_Spend,2016_Spend,2017_Spend
Dominican Republic,47798904.44,33894298.95,63127240.84,95993941.21,100956679.7,84449968.38,107001292.2,150664189.8,159053096.3,175000467.8,246810843.7,305900328.0,271663317.2,155802495.6,152878466.8,272200481.1,259240325.1,274775680.8,333538881.6,320855289.2,354856781.4,348559830.1,396187178.6,383380254.1,437572091.1,458007157.5,479722172.8,533077263.1
Algeria,904269155.2,565098062.6,1053301643.0,1276911083.0,1334911648.0,1234655192.0,1452431008.0,1752395278.0,1910962052.0,1826496570.0,1881163649.0,2091627274.0,2100602521.0,2206395762.0,2802224794.0,2924820167.0,3093978245.0,3945815125.0,5172336907.0,5280588156.0,5671309117.0,8652237040.0,9326287144.0,10161588239.0,9724379972.0,10412714003.0,10217081700.0,10073364021.0
East Asia & Pacific (excluding high income),17443884154.0,18343740488.0,22105236302.0,23389677478.0,23004238859.0,27349781671.0,30677054372.0,31346836050.0,29077162787.0,34354789091.0,37991772473.0,43204793160.0,49907795061.0,68525954401.0,79663666532.0,88717903585.0,66782238969.0,82941095953.0,103000000000.0,123000000000.0,135000000000.0,160000000000.0,184000000000.0,209000000000.0,229000000000.0,243000000000.0,246000000000.0,258000000000.0
Early-demographic dividend,81824560179.0,84912427500.0,86313344397.0,70809659745.0,71553811110.0,73126805211.0,76048408901.0,86685254411.0,89621248049.0,92222177526.0,99185359861.0,100000000000.0,92913956625.0,113000000000.0,129000000000.0,146000000000.0,125000000000.0,145000000000.0,163000000000.0,173000000000.0,194000000000.0,211000000000.0,228000000000.0,243000000000.0,255000000000.0,255000000000.0,235000000000.0,254000000000.0
East Asia & Pacific,74851232873.0,81670958372.0,90126446942.0,99090511654.0,105000000000.0,118000000000.0,117000000000.0,112000000000.0,99452853797.0,113000000000.0,119000000000.0,117000000000.0,124000000000.0,150000000000.0,169000000000.0,184000000000.0,163000000000.0,185000000000.0,213000000000.0,236000000000.0,260000000000.0,300000000000.0,324000000000.0,339000000000.0,361000000000.0,367000000000.0,378000000000.0,393000000000.0
Europe & Central Asia (excluding high income),,,,16149303810.0,21332072187.0,22509173536.0,26961905919.0,30862374505.0,21303474766.0,20452098399.0,22744755312.0,22874671106.0,27559841772.0,32598514932.0,38146826811.0,47355476408.0,57880808517.0,72517065372.0,89688098282.0,80710439035.0,89635276519.0,103000000000.0,115000000000.0,124000000000.0,119000000000.0,97079517784.0,99303623795.0,98245283622.0
Europe & Central Asia,,,,199000000000.0,208000000000.0,224000000000.0,229000000000.0,217000000000.0,208000000000.0,205000000000.0,190000000000.0,189000000000.0,209000000000.0,253000000000.0,288000000000.0,302000000000.0,320000000000.0,369000000000.0,413000000000.0,386000000000.0,383000000000.0,408000000000.0,402000000000.0,411000000000.0,407000000000.0,348000000000.0,351000000000.0,362000000000.0
Ecuador,202000000.0,209000000.0,211000000.0,276000000.0,291000000.0,475000000.0,419000000.0,499000000.0,549000000.0,296000000.0,266000000.0,384000000.0,505000000.0,739000000.0,710000000.0,954000000.0,950000000.0,1310000000.0,1646000000.0,1949000000.0,2094000000.0,2453700000.0,2589776000.0,2735825000.0,2786519000.0,2597510000.0,2513200000.0,2462700000.0
Egypt,2260645161.0,1345757343.0,1415819974.0,1526165392.0,1714409786.0,1948876986.0,2115742979.0,2267650314.0,2372048406.0,2447978794.0,2627698334.0,2834256230.0,2902768425.0,2383914898.0,2369743586.0,2659439714.0,2952520159.0,3306908257.0,3779880350.0,4017404478.0,4407286453.0,4463974191.0,4557748767.0,4359834244.0,5085120542.0,5475490833.0,4513022527.0,2765588434.0
Euro area,140000000000.0,138000000000.0,146000000000.0,130000000000.0,131000000000.0,144000000000.0,144000000000.0,129000000000.0,128000000000.0,127000000000.0,114000000000.0,112000000000.0,121000000000.0,149000000000.0,169000000000.0,171000000000.0,176000000000.0,197000000000.0,221000000000.0,215000000000.0,201000000000.0,208000000000.0,192000000000.0,193000000000.0,192000000000.0,164000000000.0,171000000000.0,183000000000.0
Eritrea,,,,107737649.2,80198311.21,124996349.9,152271808.6,92756319.41,263001685.7,272856734.6,230670129.9,166550245.4,150764425.2,181583669.0,,,,,,,,,,,,,,
Spain,11695038645.0,11680263754.0,12250195430.0,10041511353.0,10092671257.0,11439906271.0,11294316855.0,9865892241.0,10333417234.0,11113722490.0,10273779252.0,10222074075.0,10270839019.0,12880532801.0,15262458637.0,15997724220.0,17252217613.0,20065668635.0,22227721830.0,20178274985.0,19710785450.0,19695435494.0,18860623363.0,17242959322.0,17178549315.0,15188853150.0,14014439635.0,16043533257.0
Estonia,,,,13146559.88,25135735.38,36343487.58,41436607.71,53031652.18,59919847.48,73800541.32,78313308.56,93818539.9,122069530.7,171411923.9,204968180.2,265961745.8,315179053.3,444197516.0,505779818.3,434340865.2,332231196.9,389237580.9,436852911.6,479314460.8,512119045.1,463568814.5,497653404.3,537440226.9
Ethiopia,785048309.2,529033816.4,255343443.4,163850000.0,148691674.3,122460147.5,126454733.2,225417105.1,458549925.4,703704869.5,617541613.6,349808276.5,288932333.5,278673159.9,311038749.0,342066638.7,345687017.0,360140308.6,388187596.7,339627768.0,303617033.1,332441772.4,366539017.7,345064165.8,414476025.8,442551536.5,490177248.5,503158174.3
European Union,192000000000.0,193000000000.0,200000000000.0,177000000000.0,181000000000.0,194000000000.0,195000000000.0,180000000000.0,182000000000.0,179000000000.0,163000000000.0,162000000000.0,176000000000.0,214000000000.0,244000000000.0,249000000000.0,257000000000.0,291000000000.0,317000000000.0,298000000000.0,286000000000.0,297000000000.0,278000000000.0,278000000000.0,279000000000.0,244000000000.0,245000000000.0,257000000000.0
Fragile and conflict affected situations,5628613277.0,7322176202.0,7271030756.0,7202089238.0,,,7837091508.0,9106793992.0,10595222058.0,11809137984.0,13949146351.0,,,29382721297.0,36730207448.0,40338111644.0,8733903752.0,11101526593.0,14507932111.0,14053373364.0,12076704778.0,13350410039.0,16449796973.0,21901821911.0,21814358200.0,20556954653.0,17139676571.0,19451864579.0
Finland,2141300984.0,2200991549.0,2075955550.0,1615424809.0,1756338984.0,1908986807.0,2021797095.0,1947002590.0,1959708814.0,1653905119.0,1558135250.0,1479270879.0,1611406522.0,2475059743.0,2892938124.0,2999391049.0,3128517474.0,3296557750.0,3958118334.0,3940584835.0,3717180505.0,4099505807.0,3943239958.0,4161139945.0,3985508352.0,3399134967.0,3415008250.0,3429968212.0
Fiji,30542031.59,32482582.88,30539125.34,32041095.62,33665273.34,34700248.16,32851136.61,30962540.18,22598926.93,23811699.72,32039537.35,32811655.82,30914304.27,37296898.08,46798811.28,43111350.29,54067168.06,75576918.3,53585658.62,51285722.32,50408953.71,60785527.47,59221516.41,58108276.9,46079423.53,42418008.45,42649282.3,45705790.34
France,42589868779.0,42702599011.0,45123086054.0,42590872342.0,44392512323.0,47768110000.0,46403438584.0,41308251985.0,40041139680.0,38897240331.0,33814262023.0,33276659717.0,36403933933.0,45916973841.0,53007021661.0,52908769835.0,54516076830.0,60594986847.0,66009448127.0,66884028879.0,61781748108.0,64600927220.0,60035153811.0,62417099178.0,63613569143.0,55342131529.0,57358414419.0,60417498822.0
Faroe Islands,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Micronesia,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gabon,,,,,,,,,,,91295212.2,90036137.23,94693165.45,108396421.2,125121856.6,118111430.5,130237717.3,,,,268738503.9,265965337.6,278143957.1,282163387.6,208124753.5,170374503.3,202815390.7,267430770.8
United Kingdom,38943795645.0,42074283749.0,40774938835.0,34085881363.0,34493524143.0,34247823782.0,34490949485.0,35674878363.0,36866288852.0,36453353008.0,35254814799.0,35331927360.0,39659529123.0,46942962291.0,53970302831.0,55151564188.0,57482975674.0,65986089657.0,65619450480.0,57914627858.0,58082848795.0,60270435687.0,58495656721.0,56861759588.0,59182858554.0,53862185493.0,48118943518.0,46433303401.0
Georgia,,,,,,,67706683.56,44007707.13,41084456.98,25882678.36,18824291.43,23829967.87,33975807.04,42647402.88,70419742.78,214071430.1,404172025.9,931750564.2,1090160251.0,603655214.9,454178215.2,468779626.8,491982529.4,441878927.0,415642426.2,299514176.3,315194446.3,308227183.5
Ghana,27612553.5,41427184.18,41663996.04,41004328.58,37823250.83,49054322.26,44417812.62,45483310.22,57453085.66,59277760.9,50882608.24,32352140.5,36975481.34,53244020.29,56353842.99,64196566.4,75732607.93,126077789.0,113668160.2,118290743.9,122480468.5,234327479.6,337260972.7,254997057.4,252653419.0,190515191.5,161751874.3,189129841.5
Gibraltar,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Guinea,,71764178.4,55654040.29,43956503.99,45871747.51,,,44370189.81,45034483.32,55211186.39,45967931.21,87718398.82,98084865.17,84133949.31,81018570.1,,,,,,,,168913357.5,196818705.6,196945589.8,221414232.3,161856744.5,199317873.4
